2022-08-18 16:37:39,836 ; DEBUG ; streamer ; init_socket ; WebSocketApp Initiated
2022-08-18 16:37:40,610 ; DEBUG ; streamer ; connect ; Connection initiated.
2022-08-18 16:37:42,659 ; DEBUG ; streamer ; add ; subscribed to {'BBBY', 'LRC-USD', 'GME'}
2022-08-18 16:37:43,809 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.4201, 2022-08-18 16:37:43.808981)
2022-08-18 16:37:43,829 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1, 2022-08-18 16:37:43.829278)
2022-08-18 16:37:44,832 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.43, 2022-08-18 16:37:44.832305)
2022-08-18 16:37:45,857 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.4117, 2022-08-18 16:37:45.857033)
2022-08-18 16:37:45,868 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:45.868287)
2022-08-18 16:37:46,881 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:46.881386)
2022-08-18 16:37:46,889 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.415, 2022-08-18 16:37:46.889356)
2022-08-18 16:37:47,803 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.42, 2022-08-18 16:37:47.803302)
2022-08-18 16:37:48,928 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:48.928582)
2022-08-18 16:37:49,851 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.435, 2022-08-18 16:37:49.851197)
2022-08-18 16:37:50,772 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.44, 2022-08-18 16:37:50.772378)
2022-08-18 16:37:50,780 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:50.779972)
2022-08-18 16:37:51,898 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.44, 2022-08-18 16:37:51.898799)
2022-08-18 16:37:51,903 ; INFO ; streamer_functions ; update_db_quote ; Quote(LRC-USD, 0.42329, 2022-08-18 16:37:51.903883)
2022-08-18 16:37:52,820 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.455, 2022-08-18 16:37:52.820146)
2022-08-18 16:37:53,906 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.445, 2022-08-18 16:37:53.906937)
2022-08-18 16:37:54,895 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5999, 2022-08-18 16:37:54.895614)
2022-08-18 16:37:55,816 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5809, 2022-08-18 16:37:55.816925)
2022-08-18 16:37:56,921 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5783, 2022-08-18 16:37:56.921760)
2022-08-18 16:37:57,123 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:57.123220)
2022-08-18 16:37:57,939 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5799, 2022-08-18 16:37:57.939910)
2022-08-18 16:37:57,957 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:37:57.957020)
2022-08-18 16:37:59,169 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:37:59.169512)
2022-08-18 16:37:59,988 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.56, 2022-08-18 16:37:59.988676)
2022-08-18 16:38:01,012 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5309, 2022-08-18 16:38:01.012486)
2022-08-18 16:38:01,017 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:38:01.017416)
2022-08-18 16:38:01,934 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5456, 2022-08-18 16:38:01.934838)
2022-08-18 16:38:01,964 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:38:01.964009)
2022-08-18 16:38:03,981 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5501, 2022-08-18 16:38:03.981008)
2022-08-18 16:38:03,985 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1388, 2022-08-18 16:38:03.985922)
2022-08-18 16:38:05,124 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1455, 2022-08-18 16:38:05.124674)
2022-08-18 16:38:06,030 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1455, 2022-08-18 16:38:06.030152)
2022-08-18 16:38:06,038 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5501, 2022-08-18 16:38:06.038579)
2022-08-18 16:38:06,952 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.592, 2022-08-18 16:38:06.951975)
2022-08-18 16:38:07,975 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6399, 2022-08-18 16:38:07.975118)
2022-08-18 16:38:08,999 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1455, 2022-08-18 16:38:08.999872)
2022-08-18 16:38:09,007 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:09.007349)
2022-08-18 16:38:10,944 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:10.944549)
2022-08-18 16:38:11,005 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1455, 2022-08-18 16:38:11.005944)
2022-08-18 16:38:11,969 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6194, 2022-08-18 16:38:11.969568)
2022-08-18 16:38:12,993 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.61, 2022-08-18 16:38:12.993795)
2022-08-18 16:38:13,914 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.58, 2022-08-18 16:38:13.914288)
2022-08-18 16:38:14,938 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.575, 2022-08-18 16:38:14.938264)
2022-08-18 16:38:16,065 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.58, 2022-08-18 16:38:16.065877)
2022-08-18 16:38:16,113 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.13, 2022-08-18 16:38:16.113692)
2022-08-18 16:38:16,986 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.13, 2022-08-18 16:38:16.986479)
2022-08-18 16:38:18,012 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5775, 2022-08-18 16:38:18.012607)
2022-08-18 16:38:18,023 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.13, 2022-08-18 16:38:18.022955)
2022-08-18 16:38:19,015 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5883, 2022-08-18 16:38:19.015101)
2022-08-18 16:38:19,024 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.13, 2022-08-18 16:38:19.024277)
2022-08-18 16:38:19,956 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.57, 2022-08-18 16:38:19.956017)
2022-08-18 16:38:20,899 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5888, 2022-08-18 16:38:20.898988)
2022-08-18 16:38:22,003 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:22.003633)
2022-08-18 16:38:22,011 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.56, 2022-08-18 16:38:22.011226)
2022-08-18 16:38:23,028 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:23.028499)
2022-08-18 16:38:23,036 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:23.035955)
2022-08-18 16:38:24,052 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6001, 2022-08-18 16:38:24.052409)
2022-08-18 16:38:25,958 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:25.958634)
2022-08-18 16:38:25,994 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:25.994327)
2022-08-18 16:38:27,021 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:27.021744)
2022-08-18 16:38:27,040 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:27.040427)
2022-08-18 16:38:27,949 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:27.949804)
2022-08-18 16:38:27,985 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.61, 2022-08-18 16:38:27.985500)
2022-08-18 16:38:30,093 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:30.093631)
2022-08-18 16:38:30,986 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.11, 2022-08-18 16:38:30.986220)
2022-08-18 16:38:31,035 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:31.035720)
2022-08-18 16:38:32,041 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.61, 2022-08-18 16:38:32.041024)
2022-08-18 16:38:33,062 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.53, 2022-08-18 16:38:33.062760)
2022-08-18 16:38:34,058 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:34.058327)
2022-08-18 16:38:35,013 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1352, 2022-08-18 16:38:35.013502)
2022-08-18 16:38:36,032 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1352, 2022-08-18 16:38:36.032465)
2022-08-18 16:38:36,038 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5911, 2022-08-18 16:38:36.038716)
2022-08-18 16:38:36,954 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5923, 2022-08-18 16:38:36.954560)
2022-08-18 16:38:36,972 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1352, 2022-08-18 16:38:36.972386)
2022-08-18 16:38:37,979 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:38:37.979326)
2022-08-18 16:38:39,105 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:38:39.105080)
2022-08-18 16:38:40,026 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:38:40.026304)
2022-08-18 16:38:40,035 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1352, 2022-08-18 16:38:40.035547)
2022-08-18 16:38:41,050 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.61, 2022-08-18 16:38:41.050577)
2022-08-18 16:38:42,996 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:38:42.996272)
2022-08-18 16:38:43,936 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1352, 2022-08-18 16:38:43.936862)
2022-08-18 16:38:43,944 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.64, 2022-08-18 16:38:43.944479)
2022-08-18 16:38:45,044 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6325, 2022-08-18 16:38:45.044880)
2022-08-18 16:38:45,061 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:38:45.060954)
2022-08-18 16:38:46,073 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6312, 2022-08-18 16:38:46.073763)
2022-08-18 16:38:46,096 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1199, 2022-08-18 16:38:46.096214)
2022-08-18 16:38:47,091 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.64, 2022-08-18 16:38:47.091599)
2022-08-18 16:38:48,014 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.66, 2022-08-18 16:38:48.014787)
2022-08-18 16:38:48,978 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.65, 2022-08-18 16:38:48.978505)
2022-08-18 16:38:50,062 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6597, 2022-08-18 16:38:50.062469)
2022-08-18 16:38:50,974 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6401, 2022-08-18 16:38:50.974090)
2022-08-18 16:38:51,044 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1199, 2022-08-18 16:38:51.044890)
2022-08-18 16:38:52,110 ; INFO ; streamer_functions ; update_db_quote ; Quote(LRC-USD, 0.42318, 2022-08-18 16:38:52.110670)
2022-08-18 16:38:52,117 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.1199, 2022-08-18 16:38:52.117218)
2022-08-18 16:38:52,131 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:52.131928)
2022-08-18 16:38:53,032 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6215, 2022-08-18 16:38:53.032953)
2022-08-18 16:38:54,000 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:38:54.000432)
2022-08-18 16:38:54,023 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6381, 2022-08-18 16:38:54.023439)
2022-08-18 16:38:54,984 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6129, 2022-08-18 16:38:54.984512)
2022-08-18 16:38:56,001 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6226, 2022-08-18 16:38:56.001614)
2022-08-18 16:38:56,028 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:38:56.028261)
2022-08-18 16:38:56,952 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.62, 2022-08-18 16:38:56.952630)
2022-08-18 16:38:57,938 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6095, 2022-08-18 16:38:57.938530)
2022-08-18 16:38:58,096 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:38:58.096146)
2022-08-18 16:38:58,997 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:58.997122)
2022-08-18 16:38:59,997 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.6, 2022-08-18 16:38:59.997189)
2022-08-18 16:39:00,027 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:39:00.027612)
2022-08-18 16:39:01,120 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:39:01.120515)
2022-08-18 16:39:02,044 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.59, 2022-08-18 16:39:02.044329)
2022-08-18 16:39:02,052 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:39:02.052605)
2022-08-18 16:39:03,066 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.58, 2022-08-18 16:39:03.066830)
2022-08-18 16:39:04,091 ; INFO ; streamer_functions ; update_db_quote ; Quote(GME, 38.12, 2022-08-18 16:39:04.091406)
2022-08-18 16:39:04,098 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.575, 2022-08-18 16:39:04.098197)
2022-08-18 16:39:05,115 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.5699, 2022-08-18 16:39:05.115170)
2022-08-18 16:39:06,038 ; INFO ; streamer_functions ; update_db_quote ; Quote(BBBY, 17.54, 2022-08-18 16:39:06.038660)
